,Headline,Ranking,Review,ReviewDate
1292,Super dårligt med minimumskøb,1,"Super dårligt, at man skal købe for minimum 200 kr. for at foretage et køb og så samtidig skal betale 50 kr. i fragt...
Jeg skulle købe en ting til 140 kr., og blev derfor nødt til at finde en ekstra ting ved siden af til minimum 60 kr., som jeg ikke havde brug for, bare for at få lov til at foretage et køb på siden. Derefter skulle jeg lige betale fragt også. Det endte med at mit køb gik fra 140 kr. til 258. Øv! Købte kun tingen, fordi den ikke var at finde andre steder, men gider ærligt talt ikke at handle på boozt pga. det minimumskøb. Simpelthen for ringe.",2019-12-12T18:41:13Z
1293,Super lynhurtig service👍,5,Super lynhurtig service👍,2019-12-12T18:30:03Z
1294,Fik det jeg havde bestilt lyn hurtigt,5,Fik det jeg havde bestilt lyn hurtigt,2019-12-12T17:49:31Z
1295,God service,5,God service - hurtig levering !,2019-12-12T17:42:35Z
1296,Boozt har altid givet mig en hurtig og…,5,Boozt har altid givet mig en hurtig og fair behandling.,2019-12-12T17:04:19Z
1297,Altid godt,5,"Nemt at bestille, hurtig levering og nemt at returnere 👍",2019-12-12T17:03:23Z
1298,Perfekt levering,5,"Perfekt levering, bestilte og fik varen dagen efter.
jeg er glad",2019-12-12T16:26:03Z
1299,Hurtig levering.,5,"God og overskuelig hjemmeside.
Hurtig levering.",2019-12-12T16:23:00Z
1300,Som altid en god oplevelse,5,Som altid en god oplevelse,2019-12-12T16:04:39Z
1301,Hurtig levering.,5,"Hurtig levering.
Stort udvalg.",2019-12-12T14:44:02Z
1302,Hurtig levering.,5,Hurtig levering.,2019-12-12T14:13:34Z
1303,Modtog ikke min BF ordre,1,"Modtog ikke min BF ordre. Pengene var trukket, og jeg bad den sende nye varer - ikke muligt! Jeg måtte ind og bestille varerne igen! Lægge pengene ud igen! Det der var udsolgt prøvede jeg på at finde noget andet (samme serie og pris) men jeg måtte ikke få den rabat på de varer som de ellers tilbød til BF.

Ikke meget service, når varerne ikke når frem.",2019-12-12T14:06:12Z
1304,har haft lidt problemer med for lidt…,4,har haft lidt problemer med for lidt tilbagebetalt ved ændring af størrelser. jeres udregning er noget forvirrende.,2019-12-12T14:03:32Z
1305,Supre varer til gode priser :-),5,Supre varer til gode priser :-),2019-12-12T13:43:59Z
1306,Hurtigt og nemt,5,Hurtigt og nemt,2019-12-12T13:24:54Z
1307,Det gik fint det hele,5,"Det gik fint det hele. Nu håber jeg bare at det går lige så fint med de returvarer, som jeg sendte afsted og at man får besked på at pengene er kommet retur på ens konto.",2019-12-12T13:23:31Z
1308,Fantastisk service,5,"Fantastisk service - der var overhovedet ingen problemer, da jeg desværre havde en reklamation på en vare. 
Meget hurtig respons fra kundeservice. Kan kun give 5 stjerner herfra",2019-12-12T12:23:30Z
1309,Fin betjening,5,Fin betjening,2019-12-12T11:28:21Z
1310,Hurtig levering af den rigtige vare,5,"Hurtig levering af den rigtige vare, perfekt. GLS som leverandør virker også, vi bestilte samtidig ved Zalando som bruger post nord og det kom først tre dage senere !!!",2019-12-12T09:43:43Z
1311,"Stort udvalg,god service og hurtig…",5,"Stort udvalg,god service og hurtig levering.",2019-12-12T09:40:18Z
1312,Super oplevelse,5,"Super oplevelse, hurtig levering og god service!",2019-12-12T09:16:23Z
1313,Hurtig ordre ekspedition og levering,5,Hurtig ordre ekspedition og levering. Professionel kundeservice og nem retur proces.,2019-12-12T09:08:11Z
1314,Helt igennem fantastisk :-)),5,Helt igennem fantastisk :-)),2019-12-12T08:51:13Z
1315,Hurtig levering,5,Hurtig levering,2019-12-12T08:50:18Z
1316,Fantastisk service,5,Altid helt igennem god service hos Boozt.com!,2019-12-12T07:56:22Z
1317,Hurtig levering 👍,5,Hurtig levering 👍,2019-12-12T07:10:39Z
1318,Super tilfreds!,5,Altid hurtigt og let.,2019-12-12T06:31:06Z
1319,Hurtigt og nemt,5,Hurtigt og nemt,2019-12-12T05:01:13Z
1320,Nem bestilling og hurtig levering:-),5,Nem bestilling og hurtig levering:-),2019-12-12T04:29:13Z
1321,Hurtig og dikker handel,5,Hurtig og dikker handel,2019-12-11T22:43:24Z
1322,Ualmindelig dårlig adfærd med fair use,1,"Ualmindelig dårlig adfærd med fair use. 
Har handet i årevis og langt virkelig mange penge - men også sendt retur, som netop er fordelen ved nethandel, man kan købe, prøve og sende det retur man ikke skal bruge / passe mv.

Lidt samme princip som i butikken, jeg prøver og lader det være som jeg ikke kan passe, ikke klær mig osv. og jeg har det på ingen måde dårligt i butikken over jeg prøver den samme bluse i 2 str, hvorfor i alverden skulle jeg så havde det i netbutikken.

Men har slettet min konto nu - ingen skam at gå når man bliver smidt ud. 
Ved godt mine små 3000 om mdr nok ikke gør den store forskel, men kan da håbe flere andre også sletter deres konto og det så i sidste ende kan mærkes, når man behandler sine kunder skidt.",2019-12-11T22:00:39Z
1323,Dårlig service,1,Dårlig service. På trods af jeg havde lavet ordrer for samlet 8000 kr samme dag ville kundeservice ikke give mig de 49 kr i tranportomkostninger tilbage for den sidste bestilling som var under 499 kr og jeg derfor skulle betale transport for - hvilket jeg ikke var opmærksom på. Jeg forsøgte at annullere ordren lige efter bestilling men det var heller ikke muligt.,2019-12-11T21:29:32Z
1324,10 out of 10,5,Bedste priser og hurtig levering. Kan bestemt anbefale!,2019-12-11T20:53:39Z
1325,Hurtig levering og ingen problemer ved…,5,Hurtig levering og ingen problemer ved returnering. Dejligt sted at handle.,2019-12-11T20:14:09Z
1326,Nemt og hurtig levering,5,Nemt og hurtig levering,2019-12-11T19:52:38Z
1327,God service hurtig betjening,5,God service hurtig betjening,2019-12-11T18:45:32Z
1328,Nem og overskuelig hjemmeside- hurtig…,5,"Nem og overskuelig hjemmeside- hurtig levering og nemt at returnere, hvis størrelsen ikke er rigtig.",2019-12-11T18:44:46Z
1329,Det er utrolig  nemt at handle på…,5,Det er utrolig  nemt at handle på Bootzt og hurtig forsendelse og nem retur hvis der er behov for at sende en varer retur,2019-12-11T18:44:26Z
1330,Hurtig levering👍😊,5,Hurtig levering👍😊,2019-12-11T18:23:26Z
1331,Altid fået en god behandling,5,Altid fået en god behandling,2019-12-11T18:21:59Z
1332,Alt fungerede upåklageligt,5,Alt fungerede upåklageligt. Hurtig levering.,2019-12-11T17:55:13Z
1333,Hurtig ekspedering,5,"Alt til tiden, hurtigt og smertefrit.",2019-12-11T17:31:50Z
1334,Det er bare så nemt.,5,Det er bare så nemt.,2019-12-11T17:22:37Z
1335,"Boozt.com kan absolut anbefales, fin service og hurtig levering",5,Køb og evt. returnering af varer foregår helt uden problemer - fin service og hurtig levering.,2019-12-11T17:15:53Z
1336,Det er altid en fornøjelse,5,"Det er altid en fornøjelse at handle på jeres hjemmeside. Kæmpe udvalg, meget hurigt levering og god kundeservice hvis der skulle være behov for det😊",2019-12-11T16:55:57Z
1337,Hurtig og god,4,Hurtig og god,2019-12-11T16:44:06Z
1338,Super go service også ved returnering…,5,Super go service også ved returnering det hele gik smertefrit og var en rar kvinde jeg snakkede med i support ikke sidste gang jeg handler og anbefaler også siden til andre😊.,2019-12-11T16:27:48Z
1339,Boozt har ikke returneret penge men blacklistet mig,1,Boozt har ikke returneret penge for min ordre - i stedet blacklistet de mig. Kunderservice svar ikke på min email - er det en ny politik hos Boozt?,2019-12-11T16:19:28Z
1340,Hurtig levering,5,Hurtig levering. Størrelse passer.,2019-12-11T15:20:22Z
1341,Bootz - Godt sted at handle.,5,"Har handlet flere gange hos Bootz. Altid hurtig levering og god service, endda også ved et fejlkøb. Kan kun anbefales som et godt sted at handle.",2019-12-11T14:33:18Z
1342,Gode,5,Som altid god og hurtig,2019-12-11T13:25:22Z
1343,Hurtig levering og varer ok,5,Hurtig levering og varer ok,2019-12-11T10:42:48Z
1344,"Første gangs kunde, men tilfreds!",5,"Jeg har for første gang handlet på boozt.com, og jeg er mere end tilfreds!

Jeg kunne hente min ordre dagen efter jeg havde bestilt den! Hurtigt og enkelt!! - Tak",2019-12-11T10:30:43Z
1345,Har aldrig haft problemer,5,"Har aldrig haft problemer, altid vanvittig hurtig levering og skønt stort udvalg",2019-12-11T09:41:08Z
1346,Super behandling,5,"Super behandling. Blev orienteret via mail om refundering af indbetaling, så jeg var helt tryg ved at handle hos Boozt.",2019-12-11T09:19:54Z
1347,God service og hurtig levering,5,God service og hurtig levering,2019-12-11T08:34:40Z
1348,Bestilling gik fint og varen kom…,5,"Bestilling gik fint og varen kom hurtigt, og alt var 👌. Okay. ❤ j",2019-12-11T08:05:53Z
1349,Fine bluser med perfekt pasform.,4,Fine bluser med perfekt pasform.,2019-12-11T07:59:35Z
1350,Boozt fungerer bare!,5,Altid hurtig - og korrekt - levering. Boozt fungerer bare!,2019-12-11T07:15:16Z
1351,Nemt og hurtigt at handle,5,"Stort udvalg af varer. 
Nemt at handle. 
Hurtig levering.",2019-12-11T06:02:39Z
1352,Super hurtig levering.,4,Super hurtig levering.,2019-12-11T05:38:50Z
1353,Hurtigt og effektivt,5,"Hurtigt og effektivt 
Fin være  passer rigtig fint til billede af varen",2019-12-11T05:33:35Z
1354,Som altid hurtig levering.,5,"Som altid hurtig levering.
Da det er julegaver, kan jeg ikke vurdere tøjet men er sikker på at kvaliteten er i top",2019-12-10T22:15:31Z
1355,En god oplevelse,5,"En god oplevelse, hurtig levering",2019-12-10T22:08:37Z
1356,Hej det var en ok oplevelse,5,Hej det var en ok oplevelse,2019-12-10T21:57:44Z
1357,Stort udvalg,5,Stort udvalg. Hurtig levering. Nem retur.,2019-12-10T21:43:41Z
1358,God service og hurtig levering,5,God service og hurtig levering. Alt godt!,2019-12-10T21:30:59Z
1359,Man må ikke bestille noget der koster…,2,"Man må ikke bestille noget der koster under 199. Jeg skulle købe en julegave til 110 kr, men det kunne jeg simpelthen ikke komme til. Virkelig underlig måde at drive foretning på.",2019-12-10T21:24:23Z
1360,Altid god service,5,Altid god service,2019-12-10T21:20:02Z
1361,Kan ikke sætte en finger på noget…,5,"Kan ikke sætte en finger på noget dårligt.
Super kvalitet på de sko jeg købte, hurtig levering.
Ikke sidste gang jeg handler der :)
Meget tilfreds kunde...",2019-12-10T21:11:22Z
1362,Nem at bestille,5,"Nem at bestille 
Hurtig og sikker levering",2019-12-10T20:55:06Z
1363,Nemt og virker altid !!!!!!,5,Nemt og virker altid !!!!!!,2019-12-10T20:51:10Z
1364,Altid hurtig levering og aldrig bøvl…,5,Altid hurtig levering og aldrig bøvl med returnering og refusion.,2019-12-10T19:04:43Z
1365,Herlig netbutik,5,..................,2019-12-10T18:58:43Z
1366,Rask og effektiv bestilling og…,5,Rask og effektiv bestilling og levering. Lettvint.,2019-12-10T18:43:37Z
1367,Super nemt at handle og hurtig levering,5,Super nemt at handle og hurtig levering,2019-12-10T18:38:28Z
1368,Hurtig og sikkert👌Handler gerne hos…,5,Hurtig og sikkert👌Handler gerne hos jer igen👌☀️,2019-12-10T18:33:42Z
1369,Perfekt,5,Perfekt - hurtig levering. God hjemmeside.,2019-12-10T18:21:17Z
1370,Boost er nr.1,5,"Boost er nr.1 , super hurtig levering , retur seddel vedlagt , det kan ikke være nemmere 👌🏻",2019-12-10T18:18:50Z
1371,Hurtig levering!,4,"Hurtig levering!
Der er okay at gøre pakkerne lettere med plast poser i stedet for papkasser - men poserne bliver hullet / iturevet under transport og fungerer ikke ved eventuel genlukning. Indpakningen må derfor dømmes til ikke at være okay.",2019-12-10T17:57:36Z
1372,Utrolig hurtig levering.,5,"Utrolig hurtig levering.

God overskuelig hjemmeside",2019-12-10T17:35:56Z
1373,Altid hurtig og ok levering,5,Altid hurtig og ok levering,2019-12-10T17:33:14Z
1374,👍😁😌,5,"Let og hurtig, lige det man ønsker sig.",2019-12-10T17:29:13Z
1375,Hurtig levering,5,"Hurtig levering, intet dårligt at sige.",2019-12-10T17:19:56Z
1376,Godt!,5,"Kæmpe udvalg, gode tilbud og hurtig levering:-))",2019-12-10T17:17:32Z
1377,Fremragende oplevelse,5,"Fremragende oplevelse! Nem hjemmeside, god service, formidable priser, lækre kvalitetsvarer, hurtig levering. Whats not to like 👍",2019-12-10T16:56:05Z
1378,Kære Boozt,5,"Kære Boozt
Det gjorde I bare helt perfekt. Varerne kom virkeligt hurtigt, og var alle sikret med sikkerhedsmærker for åbning (hvis man nu ville give varerne som gave). Der var ikke for meget unødig plastik med for at udfylde kassen, men man kunne nu nok have valgt en lidt mindre model til formålet (og dermed spare plads og CO2 på transport i disse tider). Det ville gøre Jer helt superior i nethandel.",2019-12-10T16:28:47Z
1379,Hurtig levering til privatadresse om…,5,Hurtig levering til privatadresse om aftenen:-),2019-12-10T16:24:03Z
1380,Meget nemt at bestille og fantastisk…,5,Meget nemt at bestille og fantastisk hurtig levering.,2019-12-10T15:40:31Z
1381,Jeg har indtil nu kun haft gode…,4,Jeg har indtil nu kun haft gode oplevelser med boozt . Når jeg har haft behov for at sender retur har det fungeret upåklageligt. Enkelte gange pga forkert størrelse og enkelte gange fordi jeg ikke brød mig om tøjet når jeg fik det prøvet.,2019-12-10T15:35:59Z
1382,Nemt at finde varen- kom hurtigt til…,5,Nemt at finde varen- kom hurtigt til hjemadressen.,2019-12-10T15:34:12Z
1383,super service og levering til tiden,5,super service og levering til tiden,2019-12-10T14:59:17Z
1384,Som altid hos Boozt super service Mvh…,5,Som altid hos Boozt super service Mvh Kjeld,2019-12-10T14:46:38Z
1385,Hurtig betjening,5,Hurtig betjening,2019-12-10T14:41:34Z
1386,Hurtigt bestilling og nem levering,5,Hurtigt bestilling og nem levering,2019-12-10T14:18:55Z
1387,Forfærdelig service,1,"Forfærdelig service, min pakkeshop er leveret til en helt anden by som jeg ikke kunne hente! og når jeg vil bestille helt de samme vare kan ikke ikke få den rabat jeg er blevet lovet!",2019-12-10T13:49:12Z
1388,Alt kørte som aftalt,5,Alt kørte som aftalt. Professionelt og god kommunikation. Følte mig tryg hele vejen igennem.,2019-12-10T13:28:30Z
1389,Nemt og hurtig,5,Nemt og hurtig,2019-12-10T13:14:50Z
1390,Godt udvalg og fin service,5,Godt udvalg og fin service,2019-12-10T13:05:38Z
1391,👍👍👍Super service,5,"👍👍👍Super service, kvalitets varer og hurtig levering!!",2019-12-10T12:46:42Z
1392,De er super hurtige og rigtig god…,5,De er super hurtige og rigtig god service👍🏼😊,2019-12-10T12:05:42Z
1393,De holder hvad de lover.,5,De holder hvad de lover.,2019-12-10T12:02:22Z
1394,God og hurtig levering.,5,God og hurtig levering.,2019-12-10T11:52:28Z
1395,Super hurtigt,5,"Nemt, super hurtigt og stort udvalg👍🏻",2019-12-10T11:45:40Z
1396,Så skuffet !!!!! Afvist pga. fair use klausul.,1,"Jeg handler rigtig meget på Boozt.com
Jeg har købt meget, men også returneret meget, det ved jeg godt. Til information så svinger jeg i sko str. alt efter mærke og har tit svært ved at vide om jeg skal ha dem i 37 el. 38 og da Boozt jo er en netbutik, der er jo ikke tale om en fysisk butik, så de skal jo hjem i stuen og prøves først, sådan er det jo med nethandel. 

Jeg har i dag købt en julegave og fik som altid en mail på ordren er modtaget, lidt senere kom der en mail med en afvisning, at jeg ikke må købe varen, grundet fair use politik så nu er min ordre annulleret. 
Fair use klausul omhandler åbenbart en registrering af deres kunder der køber meget og returnerer meget, og Boozt vil passe på miljøet ved at undgå for mange returneringer mht. fragt og bilkørsel osv. Fair use klausul skal bruges til at ta en dialog med kunderne der køber og bytter for meget. 
Men her er ingen dialog taget, jeg er resolut blevet afvist og efter eget initiativ efter et opkald til Boozt blevet informeret om Fair use klausul.  

Jeg er helt med på at vi skal passe på miljøet, men sådan en “lussing” uden nogen form for forvarsel er IKKE ok! I sender mig gerne mails dagligt med gode tilbud! Det gir ingen mening. 
Det her det svarer til at man kan blive afvist i døren til en fysisk butik og stå og sige til kunderne, ja du må gerne købe her’ .... men du må ikke købe’ for du bytter for mange af dine købte varer. 

Jeg er så vred og rystet og føler mig meget dårligt behandlet! 

Når man indfører sådanne tiltag hvor man kategorisk vælger at afvise en kunde, skal det skrives tydeligt så folk ved det, eller det kan skrives ved ud tjekning af køb når I registrerer, at nu er der en kunde I mener der bytter meget.  Her kunne I skrive, desværre kan vi ikke tage mod ordren grundet fair use politik vi vil gerne passe på miljøet og undgå for mange store køb og derefter store returneringer, så ring til os så kigger vi på det. 

Størstedelen af kunder læser ikke det med småt, især når det nu omhandler -du må ikke købe i min butik fordi du bytter for meget regel. Ja det er mit eget ansvar at læse det med småt, men det gør jeg ikke fordi jeg normalt handler på Boozt helt uden problemer, så jeg har aldrig tænkt det kunne blive aktuelt at blive smidt ud eller være en kunde der ikke længere må handle på Boozt. 

Det der skete i dag er at i først gav mig lov til at købe fordi handlen gik fint igennem hvorefter i siger så siger nej, hvad er det for en måde at behandle folk på. 
Jeg handler aldrig hos Boozt mere... nårh nej det må jeg heller ikke, jeg er jo blevet afvist!  
 
Så skuffet, jeg har købt så meget hos jer, og rigtig meget har jeg også beholdt. 
Øv en dum oplevelse, jeg håber inderligt i fremadrettet vil vælge at se på måden I behandler jeres kunder på!!!!!!",2019-12-10T11:19:11Z
1397,Hurtig levering og fine varer!,5,Hurtig levering og fine varer!,2019-12-10T10:37:49Z
1398,Varen passede til forventningerne,5,"Varen passede til forventningerne. Super hurtig levering
.",2019-12-10T10:15:13Z
1399,Altid hurtig levering,5,Altid hurtig levering. Varene stemmer med beskrivelserne. Aldrig problemer med returneringer.,2019-12-10T09:50:26Z
1400,levering og kundeservice er i top,5,levering og kundeservice er i top,2019-12-10T09:29:02Z
1401,Tak for hurtig levering,5,Tak for hurtig levering. Må  I alle få en rigtig glædelig jul.,2019-12-10T09:28:31Z
1402,Hurtig levering,3,"Hurtig levering, med desværre ikke den bestilte farve.",2019-12-10T09:28:26Z
1403,Fin service,5,"Hurtig levering, nemt også at bytte...dejligt",2019-12-10T09:08:04Z
1404,hurtig levering,5,hurtig levering,2019-12-10T08:50:24Z
1405,Hurtig levering,5,"Hurtig levering, god shopping oplevelse!",2019-12-10T08:40:41Z
1406,En god oplevelse,5,👍😊 nemt og hurtigt,2019-12-10T08:26:04Z
1407,God service.,5,Hurtig og god ekspedition - kan anbefales til andre😊😊,2019-12-10T07:57:56Z
1408,Sko som har størrelse 40 passer til…,3,Sko som har størrelse 40 passer til 37/38.,2019-12-10T07:54:12Z
1409,Kæmpe udvalg 😊,5,"Kæmpe stort udvalg men stadig meget overskuelig side!
Lækre varer og hurtig levering!",2019-12-10T07:28:36Z
1410,Ukompliceret :) Hurtig levering,5,Ukompliceret :) Hurtig levering,2019-12-10T07:27:21Z
1411,Hurtig levering af den rigtige vare til…,5,Hurtig levering af den rigtige vare til en god pris,2019-12-10T07:18:57Z
1412,No problemos :),5,No problemos :),2019-12-10T07:12:42Z
1413,Rigtig god kundeservice.,5,Rigtig god kundeservice.,2019-12-10T07:09:33Z
1414,Altid hurtig og effektiv levering,5,Altid hurtig og effektiv levering,2019-12-10T07:05:54Z
1415,Hurtigt,5,"Hurtigt, nemt og effektivt",2019-12-10T06:55:35Z
1416,Gode priser og hurtig levering,5,Gode priser og hurtig levering. 👍,2019-12-10T06:49:26Z
1417,Love it!,5,"Nemt at bestille. 
Hurtig levering. 
Lækre produkter. 
What’s not to like.",2019-12-10T06:46:48Z
1418,Hurtig levering,5,"Fik, hvad jeg havde bestilt, og der er et stort udvalg.",2019-12-10T06:27:06Z
1419,Gode produkter og intet bøvl.,5,Gode produkter og intet bøvl.,2019-12-10T06:06:43Z
1420,God service,5,God service og hurtig levering,2019-12-10T04:18:55Z
1421,Gået glip af et godt tilbud,1,"Jeg bestilte tre forskellige varer i forbindelse med Black friday og 25% besparelse, herunder et par sutsko som skulle være en julegave. Jeg får en mail om at min bestilling er modtaget og alt er fint. To dage efter modtager jeg en ordrebekræftigelse hvor jeg opdager at der står, at sutskoene er udsolgt og derfor ikke bliver leveret - dette får man altså ikke engang en mail eller anden lille serviceinfo omkring.
Jeg skriver en mail til kundeservice og spørger, om jeg så ikke kan få lov til at købe samme model af sutskoene i en anden farve (som koster det samme som dem jeg bestilte, og også var til -25% til Black friday) med de 25% rabat, men får blot at vide, at de ikke kan prisjustere.
Havde de dog bare opdateret deres hjemmeside på black friday, og meldt sutskoene udsolgt, så kunne jeg have benyttet mig af et tilbud et andet sted, men nu er chancen forspildt. Alt i alt en skuffende oplevelse.",2019-12-09T22:55:03Z
1422,Hurtig levering,4,"Hurtig levering. Varerne helt iorden men desværre blev varerne leveret i en forkert pakkeshop, hvilket var meget besværligt",2019-12-09T22:42:58Z
1423,Fremragende at handle med Boozt.com,5,Fremragende at handle med Boozt.com. fine varer mv,2019-12-09T22:24:53Z
1424,Jeg bestilt varer gennem tiderne,5,"Jeg bestilt varer gennem tiderne. Byttet ved forkerte str og altid har der været tjek på returnering, kvalitet ved fremsendte varer.",2019-12-09T21:55:21Z
1425,Super service,5,"Super service, hurtig levering, nemt at returnere - uden bøvl😊👍🏻",2019-12-09T21:41:17Z
1426,Gode priser og hurtig levering,5,Gode priser og hurtig levering,2019-12-09T21:29:39Z
1427,Fantastisk god,2,"Fantastisk god, rask og effektiv service!",2019-12-09T21:08:37Z
1428,Sikker og god handel uden problemer.,5,Sikker og god handel uden problemer.,2019-12-09T20:49:24Z
1429,Altid god service,5,Altid god service. Hjælpsom når man ringer.,2019-12-09T20:48:12Z
1430,Godt sted at handle,4,Har indtil videre kun haft positive oplevelser hos Boozt,2019-12-09T20:45:35Z
1431,Altid hurtig levering og ukompliceret returmulighed!,5,Altid hurtig levering... og ukompliceret returmulighed! Perfekt for en travl person som jeg👍🏻,2019-12-09T20:30:49Z
1432,Fin handel,5,"Fin handel, ingen problemer.",2019-12-09T20:14:20Z
1433,1-2 hverdage = 3 hverdage,2,"Jeres track & trace er lige så værdiløs som jeres løfte om at pakken kommer i løbet af 1-2 hverdage. Når man ikke får nogen som helst Update om hvor pakken er før man får besked om at nu er den ankommet i pakkeshoppen 3 dage senere....
Første gang jeg oplevede dette hos jer kunne tilskrives en fejl men anden gang er det noget sløseri, og da jeres konkurrenter har mere styr på at holde deres kunder orienteret og holde deres løfter bliver det dem jeg handler hos næste gang.

OPDATERING 30/12-19
I skriver at I vil kontakte mig på mail, det har I ikke gjort?",2019-12-09T20:00:57Z
1434,Altid hurtig forsendelse,5,"Altid hurtig forsendelse, gode tilbud og rabatter",2019-12-09T19:48:43Z
1435,Altid hurtig levering og gide priser,5,Altid hurtig levering og gode priser,2019-12-09T19:20:47Z
1436,Altid god service og hurtig levering...,5,Altid god service og hurtig levering...,2019-12-09T19:19:53Z
1437,Effektivt,5,Hurtigt og effektivt også det skal byttes,2019-12-09T19:05:29Z
1438,Hurtig levering og nem retur hvis det…,5,Hurtig levering og nem retur hvis det er nødvendigt.,2019-12-09T19:02:13Z
1439,Raskt levering,5,"Raskt levering, god kvalitet",2019-12-09T18:55:26Z
1440,Er lidt imponeret over,5,"Er lidt imponeret over, hvor hurtigt ens ordre bliver afsendt. Sender ordre mandag, og har varen onsdag middag.
Størrelsen på tøjet passede igen perfekt, og kvaliteten er fin.",2019-12-09T18:50:11Z
1441,Rask levering og gode produkt.,5,Rask levering og gode produkt.,2019-12-09T18:49:25Z
1442,Det er en nem hjemmeside,5,"Det er en nem og overskuelig hjemmeside. 
De holder leveringstiden.",2019-12-09T18:44:30Z
1443,God pris og hurtig levering 👌🏻,5,God pris og hurtig levering 👌🏻,2019-12-09T18:44:26Z
1444,Perfekt...😀,5,"God service og hurtig levering.
Kan klart anbefale Boozt.",2019-12-09T18:15:13Z
1445,Godt kvalitet og rask levering 👍🏻,5,Godt kvalitet og rask levering 👍🏻🙂!,2019-12-09T18:06:26Z
1446,Hurtig levering,5,"Hurtig levering, alt perfekt.",2019-12-09T17:08:54Z
1447,Hurtig levering,4,"Hurtig levering, men lidt træls man skal købe for et minimumsbeløb for at handle",2019-12-09T16:47:21Z
1448,God fordeling af sortimentet og priser,5,God fordeling af sortimentet og priser. Modtager altid de bestilte varer. Hurtig levering. Fremragende retur ordning.,2019-12-09T16:45:13Z
1449,Fantastisk informativ hjemmeside....,5,Fantastisk informativ hjemmeside og vildt hurtig levering ;-),2019-12-09T16:35:43Z
1450,Altid gode varer,5,"Altid gode varer. Hurtig levering. Har desværre selv lige måtte returnere 2 varer købt for store. Omkostningfrit, pakkeklar forsendelse. Dejlig nemt og gør at jeg holder meget af  Bootz.com .",2019-12-09T16:28:15Z
1451,"Nemt at bestille, varer helt som ønsket.",5,Bestilt på Black Friday - så 4 hverdages lev.tid mod 1-2 hverdage som skrevet. Men OK. Leveringsforløb perfekt. Varer som ønsket.,2019-12-09T16:26:35Z
1452,Nemt hurtigt og gode tilbud....som altid,5,Nemt hurtigt og gode tilbud....som altid,2019-12-09T15:32:42Z
1453,Nem og hurtig handel,5,Nem og hurtig handel uden komplikationer. Bestiller gerne her igen,2019-12-09T15:29:21Z
1454,Super hurtig levering👍,5,Super hurtig levering👍,2019-12-09T15:27:54Z
1455,Hurtig levering.,5,"Hurtig levering.
Varerne var som forventer.
Handler her tit og kan kun anbefale Boozt",2019-12-09T15:16:36Z
1456,Fremragende👍,5,Fremragende👍,2019-12-09T15:15:39Z
1457,Det går rimlig hurtig når i sender…,3,"Det går rimlig hurtig når i sender noget,men det 
Kniber når der skal betales tilbage det tager alt for lang tid",2019-12-09T14:56:13Z
1458,Som altid tilfreds,5,"Som altid tilfreds, hurtig levering og hurtig respons da min returseddel ikke virkede👍🏻",2019-12-09T14:49:09Z
1459,Hurtigt og nemt,5,"Hurtigt og nemt, nem returnering",2019-12-09T14:41:16Z
1460,Fin oplevelse,5,Fin oplevelse. Gode priser og hurtig levering.,2019-12-09T14:37:23Z
1461,Perfekt,5,Bestilte mine varer og modtog dem 2 dage efter. Helt perfekt,2019-12-09T14:30:09Z
1462,Kun positivt at sige,5,Super hurtig levering og fantastisk med gratis forsendelse og gratis retur. Så bestiller man mere og oftere.,2019-12-09T13:48:55Z
1463,Virker tilfredsstillende,5,Virker tilfredsstillende. Hurtig levering og ingen problemer ved refusion.,2019-12-09T13:37:44Z
1464,God oplevelse,5,"God oplevelse. Nem bestilling, hurtig ekspedition og hurtig levering.",2019-12-09T13:21:23Z
1465,Stort udvalg,5,"Stort udvalg, hurtig og effektiv levering 👍",2019-12-09T13:15:48Z
1466,"Skoene er små i størrelsen.  Det oplyser andre hjemmesider, men ikke Boozt",2,"Skoene var for små.  Da jeg efterfølgende tjekkede andre hjemmesider ud, bl. a. Billi Bi’s egen hjemmeside står der højt og tydeligt, at skoene er små i størrelsen og at man bør gå en størrelse op.  Samme info burde også være skrevet på Boozts, så havde I sparet min og jeres egen tid og penge.",2019-12-09T12:56:57Z
1467,Hurtig betjening,5,Hurtig betjening,2019-12-09T12:47:22Z
1468,Black week,4,"Alt gik "" lige efter bogen"" selvom varen blev bestil søndag aften i ""black week"".",2019-12-09T12:38:47Z
1469,Lever altid op til forventningerne!,5,Lever altid op til forventningerne!,2019-12-09T12:33:41Z
1470,Hurtigt og effektivt,5,Hurtigt og effektivt,2019-12-09T12:28:34Z
1471,“Fair use”,1,"En ellers glad og tilfreds kunde - er nu blevet ramt af den omtalte “fair use” regel”. Har da aldrig oplevet noget lignende. Tjek bt.dk, Jyllandsposten.dk osv. 

Som børnefamilie har jeg både købt og returneret hos boozt. Det er trods alt nemmere at prøve tøj på sig selv og børnene i hjemmet, men det har boozt valgt at sætte en stopper for!
Held og Lykke med handlen hos boozt og fri returret - så længe det varer!",2019-12-09T12:17:37Z
1472,Hurtig leverance :),5,Hurtig leverance :),2019-12-09T11:48:12Z
1473,det er ærgeligt at Boozt.com ikke tager…,3,det er ærgeligt at Boozt.com ikke tager FB,2019-12-09T11:43:38Z
1474,Hurtig service,5,Hurtig service,2019-12-09T11:42:21Z
